Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,ASTS,Technology,Communication Equipment,NASDAQ,593.61,99,99,99,10,2532088320,27.639999389648438
2,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,564.36,99,99,99,98,497564096,22.40999984741211
3,CHSN,Consumer Cyclical,Restaurants,NASDAQ,556.94,99,10,45,72,36054652,12.239999771118164
4,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,548.84,99,95,96,5,n/a,1.5700000524520874
5,SEZL,Financial Services,Credit Services,NASDAQ,522.23,99,99,99,97,469543264,193.47999572753906
6,INSG,Technology,Communication Equipment,NASDAQ,447.9,99,99,99,82,103737712,19.670000076293945
7,CAPR,Healthcare,Biotechnology,NASDAQ,433.07,99,71,45,90,154779824,20.56999969482422
8,SMMT,Healthcare,Biotechnology,NASDAQ,432.3,99,99,99,95,5601800704,20.5
9,LENZ,Healthcare,Biotechnology,NASDAQ,410.0,99,99,99,99,467792032,27.190000534057617
10,SCPX,Healthcare,Biotechnology,NYSE MKT,404.8,99,99,2,4,10265812,0.8199999928474426
11,LUMN,Communication Services,Telecom Services,NYSE,386.89,99,99,82,16,1086092800,6.570000171661377
12,GEVO,Basic Materials,Specialty Chemicals,NASDAQ,376.86,99,97,10,8,135503248,3.2899999618530273
13,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,372.64,99,99,99,99,16871360,2.9200000762939453
14,SLNHP,Financial Services,Capital Markets,NASDAQ,368.17,99,97,99,32,n/a,9.899999618530273
15,NEON,Technology,Electronic Components,NASDAQ,368.13,99,99,93,77,30719000,8.630000114440918
16,CRVS,Healthcare,Biotechnology,NASDAQ,365.66,99,99,94,48,116970928,7.559999942779541
17,LBPH,Healthcare,Biotechnology,NASDAQ,351.77,99,99,99,98,738721920,59.34000015258789
18,RAIL,Industrials,Railroads,NASDAQ,350.24,99,99,48,82,67358160,12.699999809265137
19,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,346.26,99,99,67,91,17891930,5.829999923706055
20,WLGS,Industrials,Engineering & Construction,NASDAQ,345.48,99,98,22,12,8300080,2.4800000190734863
21,SMR,Industrials,Specialty Industrial Machinery,NYSE,337.51,99,98,98,92,768516800,18.959999084472656
22,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,332.99,99,99,97,15,624490496,56.41999816894531
23,CLOV,Healthcare,Healthcare Plans,NASDAQ,331.35,99,99,97,11,546080704,4.059999942779541
24,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,327.2,99,98,99,97,41906316,6.099999904632568
25,WAVE,Utilities,Utilities—Renewable,NASDAQ,312.07,99,98,60,84,19145292,8.470000267028809
26,COMM,Technology,Communication Equipment,NASDAQ,302.16,99,99,75,2,256855168,5.900000095367432
27,RNA,Healthcare,Biotechnology,NASDAQ,289.96,99,99,99,99,4130786048,46.709999084472656
28,WLFC,Industrials,Rental & Leasing Services,NASDAQ,289.45,99,99,97,56,410781888,191.02999877929688
29,TLSIW,Healthcare,Medical Devices,NASDAQ,286.13,99,99,99,99,n/a,1.3799999952316284
30,TIL,Healthcare,Biotechnology,NASDAQ,276.86,99,99,76,53,68095936,34.900001525878906
31,AEYE,Technology,Software - Application,NASDAQ,273.2,99,99,99,99,212526320,27.850000381469727
32,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,269.22,99,99,99,99,12955388928,191.49000549316406
33,JANX,Healthcare,Biotechnology,NASDAQ,268.97,99,99,99,99,2094768384,50.4900016784668
34,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,264.01,99,96,99,14,317554912,10.180000305175781
35,CURI,Communication Services,Broadcasting,NASDAQ,262.66,99,99,90,95,60566304,2.4200000762939453
36,MSTR,Technology,Software—Application,NASDAQ,259.32,99,98,99,98,26063867904,219.0500030517578
37,ALTS,n/a,n/a,NASDAQ,256.93,99,98,99,99,n/a,2.4700000286102295
38,EVGO,Consumer Cyclical,Specialty Retail,NASDAQ,254.06,99,93,95,9,616147264,8.09000015258789
39,AUST,Basic Materials,Gold,NYSE MKT,252.97,99,74,77,86,10715651,2.559999942779541
40,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,252.56,99,99,99,98,51737596,9.880000114440918
41,PSNL,Healthcare,Diagnostics & Research,NASDAQ,248.53,99,99,99,45,65442888,4.769999980926514
42,SRRK,Healthcare,Biotechnology,NASDAQ,248.29,99,28,20,94,768031936,29.959999084472656
43,WULF,Financial Services,Capital Markets,NASDAQ,247.62,99,98,98,87,1031991936,6.210000038146973
44,DAVE,Technology,Software—Application,NASDAQ,247.46,99,99,99,99,470895648,43.779998779296875
45,LTBR,Industrials,Electrical Equipment & Parts,NASDAQ,238.0,99,20,26,11,35941904,8.829999923706055
46,APP,Technology,Software - Application,NASDAQ,236.32,99,98,95,98,26597492736,158.85000610351562
47,WVE,Healthcare,Biotechnology,NASDAQ,234.45,99,46,88,70,722513984,15.109999656677246
48,ESGL,Industrials,Waste Management,NASDAQ,231.82,99,99,96,31,26217720,2.0390000343322754
49,CADL,Healthcare,Biotechnology,NASDAQ,231.1,99,99,99,99,199960320,5.840000152587891
50,CRMD,Healthcare,Biotechnology,NASDAQ,230.64,99,97,63,93,237973760,11.199999809265137
51,MESO,Healthcare,Biotechnology,NASDAQ,228.67,99,98,97,98,854788736,9.649999618530273
52,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,225.95,99,97,93,97,1969235968,279.9599914550781
53,RZLT,Healthcare,Biotechnology,NASDAQ,225.52,99,99,99,97,199377680,4.889999866485596
54,BVS,Healthcare,Medical Devices,NASDAQ,224.41,99,99,97,94,371476640,12.739999771118164
55,GGAL,Financial Services,Banks - Regional,NASDAQ,223.09,99,98,93,98,6550478336,50.630001068115234
56,GDS,Technology,Information Technology Services,NASDAQ,222.85,99,98,84,42,1717016704,22.209999084472656
57,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,219.49,99,99,97,14,71849184,6.619999885559082
58,JVA,Consumer Defensive,Packaged Foods,NASDAQ,219.07,99,99,97,93,8163297,3.450000047683716
59,HTCO,n/a,n/a,NASDAQ,218.87,99,9,7,92,n/a,1.4500000476837158
60,EWTX,Healthcare,Biotechnology,NASDAQ,216.58,99,99,96,96,1511381888,34.849998474121094
61,VST,Utilities,Utilities—Independent Power Producers,NYSE,216.21,98,98,95,98,30652921856,130.3800048828125
62,CAVA,Consumer Cyclical,Restaurants,NYSE,214.32,98,99,94,93,10877130752,136.32000732421875
63,OCUL,Healthcare,Biotechnology,NASDAQ,214.21,98,95,98,73,850340544,11.369999885559082
64,NRIX,Healthcare,Biotechnology,NASDAQ,214.17,98,97,99,94,1126084736,25.479999542236328
65,VKTX,Healthcare,Biotechnology,NASDAQ,214.04,98,99,99,99,6216909824,64.33999633789062
66,TPC,Industrials,Engineering & Construction,NYSE,213.02,98,98,98,98,1027907392,30.65999984741211
67,ADMA,Healthcare,Biotechnology,NASDAQ,211.89,98,99,99,94,2461811456,15.619999885559082
68,EOSE,Industrials,Electrical Equipment & Parts,NASDAQ,211.51,98,97,94,6,164025680,3.2100000381469727
69,CSLR,Technology,Solar,NASDAQ,211.15,98,99,97,6,75117640,2.369999885559082
70,MBRX,Healthcare,Biotechnology,NASDAQ,209.85,98,99,99,99,9199929,2.6700000762939453
71,RCAT,Technology,Computer Hardware,NASDAQ,209.67,98,99,98,97,75767136,2.9700000286102295
72,SPRY,Healthcare,Biotechnology,NASDAQ,208.86,98,99,96,94,878840320,16.719999313354492
73,AKA,Consumer Cyclical,Internet Retail,NYSE,208.46,98,99,97,98,150772864,26.899999618530273
74,APLT,Healthcare,Biotechnology,NASDAQ,208.14,98,98,97,97,514201504,8.989999771118164
75,RKLB,Industrials,Aerospace & Defense,NASDAQ,207.79,98,96,74,18,2419549696,11.260000228881836
76,UXIN,Consumer Cyclical,Auto & Truck Dealerships,NASDAQ,206.85,98,18,7,2,428500928,5.460000038146973
77,NXL,Healthcare,Medical Devices,NASDAQ,206.8,98,80,97,99,7734022,1.4800000190734863
78,AZ,Industrials,Aerospace & Defense,NASDAQ,205.91,98,89,54,1,17750308,4.75
79,CDNA,Healthcare,Diagnostics & Research,NASDAQ,204.8,98,99,99,43,734330176,23.469999313354492
80,SWIM,Industrials,Building Products & Equipment,NASDAQ,204.4,98,98,73,60,427620096,6.929999828338623
81,KRRO,Healthcare,Biotechnology,NASDAQ,203.61,98,39,96,98,311665184,75.86000061035156
82,EUDA,Healthcare,Health Information Services,NASDAQ,202.83,98,98,99,97,93790424,4.25
