Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
2,SEZL,Financial Services,Credit Services,NASDAQ,491.73,99,99,99,99,469543264.0,172.92999267578125
6,NISN,Financial Services,Credit Services,NASDAQ,422.15,99,99,31,90,13619664.0,17.010000228881836
7,INSG,Technology,Communication Equipment,NASDAQ,370.22,99,99,99,17,103737712.0,17.489999771118164
15,LENZ,Healthcare,Biotechnology,NASDAQ,311.91,99,99,99,99,467792032.0,24.040000915527344
17,ADMA,Healthcare,Biotechnology,NASDAQ,279.0,99,99,99,93,2461811456.0,19.38500022888184
21,RAIL,Industrials,Railroads,NASDAQ,269.96,99,99,56,87,67358160.0,9.75
22,DOGZ,Consumer Cyclical,Leisure,NASDAQ,268.81,99,99,97,78,201654288.0,27.399999618530277
23,BYRN,Industrials,Aerospace & Defense,NASDAQ,268.2,99,96,97,99,240324800.0,17.6299991607666
26,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,254.22,99,99,95,31,624490496.0,44.06999969482422
27,RNA,Healthcare,Biotechnology,NASDAQ,254.0,99,99,99,98,4130786048.0,42.33000183105469
28,LBPH,Healthcare,Biotechnology,NASDAQ,252.89,99,99,99,97,738721920.0,32.0
30,JG,Technology,Software—Infrastructure,NASDAQ,248.56,99,83,24,10,19034462.0,8.020000457763672
31,AEYE,Technology,Software - Application,NASDAQ,246.12,99,99,99,96,212526320.0,23.65999984741211
32,QTTB,Healthcare,Biotechnology,NASDAQ,244.03,99,98,58,91,217226800.0,46.0
37,CDNA,Healthcare,Diagnostics & Research,NASDAQ,230.13,99,99,96,45,734330176.0,29.700000762939453
40,ZETA,Technology,Software—Application,NYSE,225.03,99,99,97,86,3581592576.0,29.51000022888184
41,WLFC,Industrials,Rental & Leasing Services,NASDAQ,224.31,99,98,95,57,410781888.0,138.75999450683594
48,BVS,Healthcare,Medical Devices,NASDAQ,214.25,99,98,94,96,371476640.0,11.640000343322754
57,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,206.33,99,99,99,99,12955388928.0,169.77999877929688
58,GDS,Technology,Information Technology Services,NASDAQ,203.17,99,98,86,11,1717016704.0,20.82999992370605
61,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,201.33,98,98,92,94,443103200.0,9.529999732971191
64,TLN,,,NASDAQ,197.21,98,98,97,91,,182.22000122070312
66,SPRY,Healthcare,Biotechnology,NASDAQ,195.29,98,97,93,95,878840320.0,14.31999969482422
67,GGAL,Financial Services,Banks - Regional,NASDAQ,195.25,98,96,96,97,6550478336.0,43.77999877929688
69,APP,Technology,Software - Application,NASDAQ,194.41,98,96,98,98,26597492736.0,127.75
70,DOYU,Communication Services,Internet Content & Information,NASDAQ,194.35,98,98,98,16,324264896.0,10.3100004196167
71,CAVA,Consumer Cyclical,Restaurants,NYSE,193.36,98,98,98,91,10877130752.0,123.76000213623048
72,RGS,Consumer Cyclical,Personal Services,NASDAQ,192.3,98,99,98,5,10647367.0,27.76000022888184
76,CMPO,Industrials,Metal Fabrication,NASDAQ,189.59,98,98,75,66,518202016.0,13.81999969482422
78,PRM,Basic Materials,Specialty Chemicals,NYSE,189.15,98,97,93,92,1159015168.0,13.239999771118164
79,FTAI,Industrials,Rental & Leasing Services,NASDAQ,189.06,98,98,99,97,9574752256.0,129.5500030517578
83,EWTX,Healthcare,Biotechnology,NASDAQ,187.99,98,97,97,97,1511381888.0,26.09000015258789
84,HRTG,Financial Services,Insurance—Property & Casualty,NYSE,186.96,98,98,41,98,229773744.0,15.510000228881836
86,APLT,Healthcare,Biotechnology,NASDAQ,184.88,98,98,95,99,514201504.0,8.270000457763672
87,RKLB,Industrials,Aerospace & Defense,NASDAQ,184.68,98,87,54,16,2419549696.0,9.779999732971191
88,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,184.58,98,98,97,82,640242240.0,17.204999923706055
89,PI,Technology,Communication Equipment,NASDAQ,184.38,98,95,98,91,4079125504.0,213.30999755859372
93,VHI,Basic Materials,Chemicals,NYSE,182.57,98,97,80,63,553888832.0,33.70000076293945
95,GATO,Basic Materials,Other Precious Metals & Mining,NYSE,180.68,98,96,97,95,744387584.0,15.899999618530272
96,LFVN,Consumer Defensive,Packaged Foods,NASDAQ,179.63,98,68,65,84,84967016.0,12.979999542236328
97,BMA,Financial Services,Banks - Regional,NYSE,179.04,98,95,98,98,5020511232.0,66.44000244140625
98,TPC,Industrials,Engineering & Construction,NYSE,179.04,98,97,98,97,1027907392.0,25.84000015258789
102,IDR,Basic Materials,Gold,NYSE MKT,176.75,98,96,95,93,122180440.0,14.920000076293944
104,BNTC,Healthcare,Biotechnology,NASDAQ,176.27,98,98,98,94,67914232.0,9.229999542236328
105,SG,Consumer Cyclical,Restaurants,NYSE,175.76,98,97,98,98,3552299776.0,35.95000076293945
107,PNTG,Healthcare,Medical Care Facilities,NASDAQ,175.04,98,98,96,92,680537344.0,34.38999938964844
109,IESC,Industrials,Engineering & Construction,NASDAQ,174.44,98,97,97,97,2759391488.0,199.6999969482422
112,AXGN,Healthcare,Medical Devices,NASDAQ,174.16,98,97,71,54,312487904.0,13.789999961853027
114,INSM,Healthcare,Biotechnology,NASDAQ,173.36,98,99,99,76,10697345024.0,72.4800033569336
115,LWAY,Consumer Defensive,Packaged Foods,NASDAQ,173.27,98,91,63,97,192519872.0,25.96999931335449
116,CRMD,Healthcare,Biotechnology,NASDAQ,172.64,98,92,61,80,237973760.0,8.050000190734863
117,TISI,Industrials,Specialty Business Services,NYSE,171.5,98,97,62,72,34924232.0,14.859999656677246
118,INLX,Technology,Software—Application,NYSE MKT,171.03,98,97,93,90,24188086.0,11.489999771118164
122,CRS,Industrials,Metal Fabrication,NYSE,169.77,97,97,95,88,4986626048.0,159.00999450683594
124,SOC,Energy,Oil & Gas Drilling,NYSE,169.14,97,88,93,43,914527744.0,24.100000381469727
126,TREE,Financial Services,Financial Conglomerates,NASDAQ,168.08,97,98,96,95,551858368.0,56.41999816894531
129,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,167.23,97,87,96,97,1969235968.0,219.08999633789065
130,CLPT,Healthcare,Medical Devices,NASDAQ,167.1,97,98,32,37,143956576.0,11.1899995803833
131,BBAR,Financial Services,Banks - Regional,NYSE,166.81,97,95,95,97,2783302912.0,10.920000076293944
132,KYMR,Healthcare,Biotechnology,NASDAQ,166.54,97,97,85,93,1914379008.0,48.68999862670898
134,RYAM,Basic Materials,Chemicals,NYSE,165.94,97,97,89,61,382308672.0,8.5
136,CNTA,Healthcare,Biotechnology,NASDAQ,165.1,97,96,76,96,962569728.0,15.789999961853027
138,USAP,Basic Materials,Steel,NASDAQ,164.69,97,98,96,96,306204480.0,39.68999862670898
143,UG,Consumer Defensive,Household & Personal Products,NASDAQ,162.33,97,96,84,31,41119164.0,15.119999885559082
146,TECX,,,NASDAQ,161.18,97,67,49,45,,30.600000381469727
147,CHCI,Real Estate,Real Estate - Diversified,NASDAQ,161.16,97,91,89,73,62093432.0,9.75
148,VERA,Healthcare,Biotechnology,NASDAQ,160.78,97,93,97,99,2132252800.0,43.43999862670898
151,COE,Consumer Defensive,Education & Training Services,NYSE MKT,160.45,97,97,95,24,52868228.0,16.700000762939453
153,AGX,Industrials,Engineering & Construction,NYSE,159.84,97,93,95,75,1036293632.0,100.43000030517578
157,RDFN,Real Estate,Real Estate Services,NASDAQ,158.87,97,87,21,10,729967808.0,12.510000228881836
162,SFM,Consumer Defensive,Grocery Stores,NASDAQ,157.05,97,97,96,91,7812086784.0,107.88999938964844
163,TMDX,Healthcare,Medical Devices,NASDAQ,157.01,97,97,98,80,4765039104.0,159.13999938964844
165,SE,Consumer Cyclical,Internet Retail,NYSE,156.46,97,95,94,71,43810652160.0,94.30999755859376
167,MOD,Consumer Cyclical,Auto Parts,NYSE,155.86,97,96,98,98,5115531776.0,131.72000122070312
169,PCT,Industrials,Pollution & Treatment Controls,NASDAQ,155.66,97,56,48,82,1009188096.0,9.600000381469728
170,HBB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,155.46,97,97,74,96,248969600.0,29.959999084472656
171,NMM,Industrials,Marine Shipping,NYSE,155.13,97,95,97,94,1481148544.0,63.40999984741211
174,PLTR,Technology,Software—Infrastructure,NYSE,154.24,97,94,93,94,57498558464.0,36.84000015258789
177,SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,154.09,97,96,89,76,10521380864.0,106.0
179,BKTI,Technology,Communication Equipment,NYSE MKT,153.95,97,97,33,55,47622796.0,22.84000015258789
181,PRAX,Healthcare,Biotechnology,NASDAQ,153.19,96,97,92,98,644796736.0,57.83000183105469
182,VBFC,Financial Services,Banks—Regional,NASDAQ,152.78,96,57,47,32,72504672.0,76.25
185,CLMB,Technology,Electronics & Computer Distribution,NASDAQ,152.14,96,97,75,88,257776016.0,99.41999816894533
