Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,563.45,99,99,99,25,16871360,3.5
2,ASTS,Technology,Communication Equipment,NASDAQ,483.65,99,99,99,8,2532088320,26.110000610351562
3,MDIA,Communication Services,Broadcasting,NASDAQ,454.96,99,99,99,8,132641344,3.6700000762939453
4,LENZ,Healthcare,Biotechnology,NASDAQ,437.57,99,99,99,0,467792032,23.799999237060547
5,LUMN,Communication Services,Telecom Services,NYSE,370.37,99,99,19,21,1086092800,5.840000152587891
6,LBPH,Healthcare,Biotechnology,NASDAQ,344.66,99,99,98,99,738721920,34.86000061035156
7,SMMT,Healthcare,Biotechnology,NASDAQ,343.58,99,99,99,97,5601800704,12.270000457763672
8,CRBP,Healthcare,Biotechnology,NASDAQ,341.94,99,99,99,99,468184352,50.040000915527344
9,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,340.37,99,98,85,28,17891930,5.989999771118164
10,NEON,Technology,Electronic Components,NASDAQ,336.42,99,90,89,6,30719000,6.699999809265137
11,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,332.11,99,99,99,98,497564096,13.25
12,PSNL,Healthcare,Diagnostics & Research,NASDAQ,330.85,99,99,21,31,65442888,5.369999885559082
13,SEZL,Financial Services,Credit Services,NASDAQ,323.63,99,99,98,99,469543264,126.66999816894531
14,CADL,Healthcare,Biotechnology,NASDAQ,321.29,99,99,99,62,199960320,6.139999866485596
15,SLNO,Healthcare,Biotechnology,NASDAQ,318.82,99,99,99,99,1734692864,48.540000915527344
16,INSG,Technology,Communication Equipment,NASDAQ,298.9,99,99,98,14,103737712,14.390000343322754
17,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,292.31,99,82,8,4,10736424,5.619999885559082
18,SHCRW,Healthcare,Health Information Services,NASDAQ,287.32,99,99,6,8,n/a,0.09799999743700027
