Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,WGS,Healthcare,Health Information Services,NASDAQ,597.36,99,99,99,97,671555136.0,37.869998931884766
4,ASTS,Technology,Communication Equipment,NASDAQ,509.19,99,99,99,5,2532088320.0,29.82999992370605
5,SEZL,Financial Services,Credit Services,NASDAQ,483.63,99,99,99,99,469543264.0,150.30999755859375
7,NEON,Technology,Electronic Components,NASDAQ,418.37,99,93,72,4,30719000.0,8.140000343322754
9,CRBP,Healthcare,Biotechnology,NASDAQ,375.39,99,99,99,99,468184352.0,55.810001373291016
10,INSG,Technology,Communication Equipment,NASDAQ,370.76,99,99,99,24,103737712.0,17.770000457763672
12,DOGZ,Consumer Cyclical,Leisure,NASDAQ,345.81,99,99,99,53,201654288.0,30.46999931335449
15,NISN,Financial Services,Credit Services,NASDAQ,336.12,99,99,33,79,13619664.0,13.390000343322754
17,LBPH,Healthcare,Biotechnology,NASDAQ,325.14,99,99,98,99,738721920.0,34.31999969482422
20,SLNO,Healthcare,Biotechnology,NASDAQ,310.12,99,99,99,99,1734692864.0,52.84000015258789
22,RAIL,Industrials,Railroads,NASDAQ,299.95,99,92,83,87,67358160.0,10.329999923706056
25,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,296.33,99,99,93,21,624490496.0,45.13999938964844
27,ADMA,Healthcare,Biotechnology,NASDAQ,277.95,99,99,98,94,2461811456.0,18.09000015258789
32,RNA,Healthcare,Biotechnology,NASDAQ,262.75,99,99,99,98,4130786048.0,41.709999084472656
34,QTTB,Healthcare,Biotechnology,NASDAQ,256.98,99,97,81,76,217226800.0,46.150001525878906
37,AEYE,Technology,Software - Application,NASDAQ,250.48,99,99,99,97,212526320.0,22.5
43,CDNA,Healthcare,Diagnostics & Research,NASDAQ,232.92,99,99,95,46,734330176.0,28.8700008392334
46,ZETA,Technology,Software—Application,NYSE,227.04,99,98,96,80,3581592576.0,27.520000457763672
53,WLFC,Industrials,Rental & Leasing Services,NASDAQ,213.98,99,97,89,50,410781888.0,120.11000061035156
58,BVS,Healthcare,Medical Devices,NASDAQ,203.83,99,96,92,96,371476640.0,11.170000076293944
62,FTAI,Industrials,Rental & Leasing Services,NASDAQ,201.94,98,98,98,96,9574752256.0,125.2300033569336
63,LENZ,Healthcare,Biotechnology,NASDAQ,201.73,98,99,93,99,467792032.0,21.86000061035156
64,TISI,Industrials,Specialty Business Services,NYSE,201.71,98,91,77,52,34924232.0,16.760000228881836
68,HRTG,Financial Services,Insurance—Property & Casualty,NYSE,195.73,98,98,81,97,229773744.0,15.510000228881836
69,CAVA,Consumer Cyclical,Restaurants,NYSE,194.51,98,97,98,93,10877130752.0,122.51000213623048
75,NRIX,Healthcare,Biotechnology,NASDAQ,192.81,98,98,96,90,1126084736.0,24.799999237060547
76,CMPO,Industrials,Metal Fabrication,NASDAQ,192.65,98,98,66,57,518202016.0,12.390000343322754
80,COE,Consumer Defensive,Education & Training Services,NYSE MKT,190.7,98,97,88,39,52868228.0,16.43000030517578
81,PRAX,Healthcare,Biotechnology,NASDAQ,190.58,98,98,94,99,644796736.0,59.880001068115234
82,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,190.36,98,99,95,93,640242240.0,18.51000022888184
83,CLPT,Healthcare,Medical Devices,NASDAQ,190.22,98,97,23,43,143956576.0,12.59000015258789
85,TLN,,,NASDAQ,189.79,98,97,97,90,,166.75
88,INSM,Healthcare,Biotechnology,NASDAQ,188.1,98,99,99,67,10697345024.0,74.66000366210938
89,GGAL,Financial Services,Banks - Regional,NASDAQ,186.32,98,97,97,95,6550478336.0,45.060001373291016
94,PNTG,Healthcare,Medical Care Facilities,NASDAQ,183.12,98,98,95,92,680537344.0,34.52000045776367
96,APP,Technology,Software - Application,NASDAQ,182.09,98,95,98,98,26597492736.0,112.58000183105467
97,SNCR,Technology,Software—Infrastructure,NASDAQ,181.88,98,94,47,79,93892136.0,14.0
98,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,181.4,98,98,97,71,443103200.0,9.0
99,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,180.79,98,99,98,99,12955388928.0,141.89999389648438
105,PRM,Basic Materials,Specialty Chemicals,NYSE,177.04,98,97,93,72,1159015168.0,11.970000267028809
106,TREE,Financial Services,Financial Conglomerates,NASDAQ,177.03,98,97,95,95,551858368.0,57.27000045776367
107,TPC,Industrials,Engineering & Construction,NYSE,176.61,98,97,98,96,1027907392.0,24.18000030517578
114,CNTA,Healthcare,Biotechnology,NASDAQ,174.68,98,96,71,97,962569728.0,16.989999771118164
115,DCTH,Healthcare,Medical Devices,NASDAQ,174.19,98,96,97,56,212283504.0,9.539999961853027
117,SG,Consumer Cyclical,Restaurants,NYSE,172.79,98,98,98,98,3552299776.0,34.58000183105469
