Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,EOSEW,Industrials,Electrical Equipment & Parts,NASDAQ,594.14,99,83,41,69,n/a,1.2899999618530273
2,XCUR,Healthcare,Biotechnology,NASDAQ,588.57,99,99,81,4,2953502,17.579999923706055
3,CTM,Technology,Information Technology Services,NYSE MKT,586.88,99,38,13,22,9545382,1.4199999570846558
4,AGFY,Industrials,Farm & Heavy Construction Machinery,NASDAQ,578.0,99,99,4,5,3856167,33.529998779296875
5,SOUN,Technology,Software—Application,NASDAQ,562.8,99,96,94,91,1570140800,23.950000762939453
6,WAVE,Utilities,Utilities—Renewable,NASDAQ,548.62,99,99,99,46,19145292,13.15999984741211
7,JL,Consumer Cyclical,Apparel Manufacturing,NASDAQ,548.49,99,8,21,25,15222720,3.6500000953674316
8,PSIX,n/a,n/a,NASDAQ,546.98,99,99,99,99,n/a,27.059999465942383
9,MVST,Industrials,Electrical Equipment & Parts,NASDAQ,539.91,99,96,3,5,150907952,2.450000047683716
10,CLEU,Consumer Defensive,Education & Training Services,NASDAQ,503.42,99,3,0,1,9383752,3.6500000953674316
11,EXOD,n/a,n/a,NYSE MKT,491.04,99,99,98,97,n/a,40.57899856567383
12,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,480.85,99,97,99,58,38072932,1.9199999570846558
13,ARQQ,Technology,Software - Infrastructure,NASDAQ,473.92,99,94,4,8,56432848,42.689998626708984
14,AMPG,Technology,Communication Equipment,NASDAQ,464.1,99,17,5,5,10397308,5.710000038146973
15,WKEY,Technology,Semiconductors,NASDAQ,448.02,99,37,54,35,20524460,11.3100004196167
16,IONQ,Technology,Computer Hardware,NYSE,447.74,99,99,34,16,1524590592,45.47999954223633
17,AENT,Communication Services,Entertainment,NASDAQ,421.93,99,99,93,97,399373184,8.75
18,SEZL,Financial Services,Credit Services,NASDAQ,421.47,99,99,99,99,469543264,265.05999755859375
19,HTCO,n/a,n/a,NASDAQ,418.6,99,97,22,31,n/a,2.4100000858306885
20,RKLB,Industrials,Aerospace & Defense,NASDAQ,410.5,99,99,98,71,2419549696,27.219999313354492
21,APP,Technology,Software - Application,NASDAQ,396.08,99,99,98,98,26597492736,335.1700134277344
22,DAVE,Technology,Software—Application,NASDAQ,395.63,99,99,99,99,470895648,97.80999755859375
23,SGMO,Healthcare,Biotechnology,NASDAQ,395.17,99,99,97,8,87403216,2.559999942779541
24,GRRR,Technology,Software - Infrastructure,NASDAQ,391.85,99,52,23,1,34889796,18.8799991607666
25,AZ,Industrials,Aerospace & Defense,NASDAQ,383.52,99,99,84,13,17750308,6.849999904632568
26,SRRK,Healthcare,Biotechnology,NASDAQ,382.65,99,99,18,17,768031936,44.459999084472656
27,KC,Technology,Software—Application,NASDAQ,374.56,99,98,80,18,684088768,12.569999694824219
28,PRZO,Industrials,Aerospace & Defense,NASDAQ,365.82,99,35,29,33,6473153,2.6500000953674316
29,HUIZ,Financial Services,Insurance Brokers,NASDAQ,365.17,99,17,44,86,50026780,3.2300000190734863
30,DOGZ,Consumer Cyclical,Leisure,NASDAQ,365.06,99,99,99,98,201654288,42.970001220703125
31,INOD,Technology,Information Technology Services,NASDAQ,364.94,99,99,95,98,397365056,45.36000061035156
32,LUNR,Industrials,Aerospace & Defense,NASDAQ,360.59,99,99,98,33,215366480,18.389999389648438
33,VUZI,Technology,Consumer Electronics,NASDAQ,357.45,99,94,12,8,91911056,5.25
34,NXL,Healthcare,Medical Devices,NASDAQ,348.36,99,99,25,99,7734022,2.950000047683716
35,NVNI,Technology,Software—Application,NASDAQ,338.35,99,5,5,14,35491776,4.210000038146973
36,ATOM,Technology,Semiconductor Equipment & Materials,NASDAQ,336.85,99,89,5,8,103516488,14.270000457763672
37,MFH,Financial Services,Capital Markets,NASDAQ,336.43,99,99,79,85,91229848,6.78000020980835
38,GMM,Technology,Information Technology Services,NASDAQ,334.13,99,99,13,19,25562496,3.5799999237060547
39,POET,Technology,Semiconductors,NASDAQ,330.45,99,98,99,98,126549736,6.960000038146973
40,CMRX,Healthcare,Biotechnology,NASDAQ,330.24,99,29,40,22,78157272,3.4600000381469727
41,REAL,Consumer Cyclical,Luxury Goods,NASDAQ,329.52,99,97,72,92,340160480,10.859999656677246
42,SKGRW,Financial Services,Shell Companies,NASDAQ,326.58,99,98,88,95,n/a,0.5199999809265137
43,CNVS,Communication Services,Entertainment,NASDAQ,326.38,99,99,30,10,11539383,3.990000009536743
44,ALGS,Healthcare,Biotechnology,NASDAQ,325.35,99,89,8,7,32853026,41.150001525878906
45,MESO,Healthcare,Biotechnology,NASDAQ,319.55,99,99,98,98,854788736,17.530000686645508
46,ZVIA,Consumer Defensive,Beverages—Non-Alcoholic,NYSE,312.58,99,95,47,4,56754132,3.740000009536743
47,CISO,Technology,Software - Infrastructure,NASDAQ,310.2,99,93,14,2,8702340,2.880000114440918
48,RDW,Industrials,Aerospace & Defense,NYSE,308.39,99,99,95,98,400030048,17.1200008392334
49,KOD,Healthcare,Biotechnology,NASDAQ,307.14,99,97,49,18,137116080,9.979999542236328
50,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,303.61,99,99,99,99,41906316,8.25
51,QURE,Healthcare,Biotechnology,NASDAQ,303.14,99,47,28,51,221870768,17.5
52,SERV,Industrials,Specialty Industrial Machinery,NASDAQ,300.67,99,85,98,19,76052336,16.290000915527344
53,MOB,Technology,Communication Equipment,NASDAQ,300.15,99,87,19,16,3999296,4.019999980926514
54,ALTS,n/a,n/a,NASDAQ,299.94,99,95,97,98,n/a,4.449999809265137
