Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,TIL,Healthcare,Biotechnology,NASDAQ,577.71,99,94,64,78,68095936,61.25
2,SMMT,Healthcare,Biotechnology,NASDAQ,521.38,99,99,99,96,5601800704,20.100000381469727
3,DUO,Real Estate,Real Estate Services,NASDAQ,508.2,99,6,23,3,4200118,3.390000104904175
4,SEZL,Financial Services,Credit Services,NASDAQ,456.28,99,99,99,99,469543264,163.7100067138672
5,ASTS,Technology,Communication Equipment,NASDAQ,454.88,99,99,99,5,2532088320,24.104999542236328
6,LUMN,Communication Services,Telecom Services,NYSE,453.61,99,99,14,16,1086092800,6.710000038146973
7,NISN,Financial Services,Credit Services,NASDAQ,404.47,99,99,89,92,13619664,16.209999084472656
8,LENZ,Healthcare,Biotechnology,NASDAQ,380.11,99,99,99,99,467792032,22.799999237060547
9,NEON,Technology,Electronic Components,NASDAQ,375.82,99,99,84,6,30719000,8.069999694824219
10,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,364.23,99,99,99,99,497564096,17.280000686645508
11,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,350.91,99,99,99,99,16871360,2.7899999618530273
12,COMM,Technology,Communication Equipment,NASDAQ,340.47,99,99,10,2,256855168,6.050000190734863
13,INSG,Technology,Communication Equipment,NASDAQ,337.38,99,99,99,17,103737712,16.06999969482422
14,PSNL,Healthcare,Diagnostics & Research,NASDAQ,318.61,99,99,42,14,65442888,4.929999828338623
15,RAIL,Industrials,Railroads,NASDAQ,317.63,99,99,46,90,67358160,11.319999694824219
16,CADL,Healthcare,Biotechnology,NASDAQ,312.75,99,99,99,99,199960320,6.994999885559082
17,RNA,Healthcare,Biotechnology,NASDAQ,312.05,99,99,99,98,4130786048,48.5099983215332
18,ADMA,Healthcare,Biotechnology,NASDAQ,289.29,99,99,99,93,2461811456,19.770000457763672
19,AGBA,Financial Services,Asset Management,NASDAQ,286.2,99,99,99,12,229691088,1.151561975479126
20,CAPR,Healthcare,Biotechnology,NASDAQ,286.19,99,31,52,92,154779824,15.010000228881836
21,ADD,Communication Services,Entertainment,NASDAQ,284.19,99,96,8,2,4945666,0.8999999761581421
22,ESGL,Industrials,Waste Management,NASDAQ,281.42,99,96,97,23,26217720,2.2100000381469727
23,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,268.14,99,99,98,98,51737596,9.050000190734863
24,BYRN,Industrials,Aerospace & Defense,NASDAQ,267.66,99,95,97,99,240324800,17.09000015258789
25,RCAT,Technology,Computer Hardware,NASDAQ,264.71,99,99,88,41,75767136,2.940000057220459
26,CRVS,Healthcare,Biotechnology,NASDAQ,263.89,99,98,43,22,116970928,5.090000152587891
27,DAVE,Technology,Software—Application,NASDAQ,261.96,99,99,99,99,470895648,40.0
28,SCPX,Healthcare,Biotechnology,NYSE MKT,252.41,99,99,1,15,10265812,0.7300000190734863
29,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,251.59,99,99,96,35,624490496,44.45000076293945
30,CDNA,Healthcare,Diagnostics & Research,NASDAQ,249.97,99,99,96,39,734330176,30.924999237060547
31,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,249.37,99,99,99,98,41906316,4.809999942779541
32,TLSIW,Healthcare,Medical Devices,NASDAQ,247.81,99,99,99,99,n/a,1.0099999904632568
33,IPW,Consumer Cyclical,Internet Retail,NASDAQ,242.43,99,89,99,14,59636400,2.059999942779541
34,WLFC,Industrials,Rental & Leasing Services,NASDAQ,237.25,99,98,94,59,410781888,144.72000122070312
35,CLOV,Healthcare,Healthcare Plans,NASDAQ,237.04,99,99,95,16,546080704,2.7799999713897705
36,AEYE,Technology,Software - Application,NASDAQ,234.8,99,99,99,98,212526320,22.829999923706055
37,LBPH,Healthcare,Biotechnology,NASDAQ,234.04,99,99,99,98,738721920,37.09000015258789
38,ZETA,Technology,Software—Application,NYSE,233.73,99,99,97,86,3581592576,29.65999984741211
39,POET,Technology,Semiconductors,NASDAQ,228.12,99,97,98,10,126549736,4.579999923706055
40,DOGZ,Consumer Cyclical,Leisure,NASDAQ,227.08,99,99,97,55,201654288,27.719999313354492
41,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,226.04,99,99,99,99,12955388928,175.8000030517578
42,RZLT,Healthcare,Biotechnology,NASDAQ,215.47,99,99,99,96,199377680,4.590000152587891
43,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,215.42,99,98,5,27,71849184,4.550000190734863
44,VKTX,Healthcare,Biotechnology,NASDAQ,215.28,99,98,99,99,6216909824,62.0
45,BVS,Healthcare,Medical Devices,NASDAQ,214.62,99,98,94,96,371476640,11.789999961853027
46,QTTB,Healthcare,Biotechnology,NASDAQ,214.07,99,99,75,92,217226800,40.474998474121094
47,JANX,Healthcare,Biotechnology,NASDAQ,213.81,99,99,99,99,2094768384,44.5
48,WAVE,Utilities,Utilities—Renewable,NASDAQ,210.26,99,97,30,94,19145292,4.650000095367432
49,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,209.45,99,99,38,1,10736424,3.369999885559082
50,JVA,Consumer Defensive,Packaged Foods,NASDAQ,208.94,99,97,97,84,8163297,3.069999933242798
51,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,208.34,99,98,99,10,317554912,8.470000267028809
52,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,207.9,99,99,34,10,7003263,0.453000009059906
53,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,205.47,99,99,62,21,38072932,0.6899999976158142
54,AVAH,Healthcare,Medical Care Facilities,NASDAQ,204.55,99,99,91,93,507880608,4.960000038146973
55,SWIM,Industrials,Building Products & Equipment,NASDAQ,204.19,99,97,33,81,427620096,6.659999847412109
56,EWTX,Healthcare,Biotechnology,NASDAQ,203.72,99,97,98,97,1511381888,27.309999465942383
57,WLGS,Industrials,Engineering & Construction,NASDAQ,203.66,99,25,24,17,8300080,1.4700000286102295
58,GDS,Technology,Information Technology Services,NASDAQ,202.62,99,98,93,12,1717016704,22.3799991607666
59,JG,Technology,Software—Infrastructure,NASDAQ,202.19,99,94,18,16,19034462,6.71999979019165
60,REAX,Real Estate,Real Estate Services,NASDAQ,201.85,99,99,98,98,728804992,5.550000190734863
61,AGMH,Technology,Computer Hardware,NASDAQ,200.91,98,44,3,43,20277014,1.909999966621399
62,CURI,Communication Services,Broadcasting,NASDAQ,200.3,98,98,93,97,60566304,1.8700000047683716
63,MBRX,Healthcare,Biotechnology,NASDAQ,200.1,98,99,99,99,9199929,2.7899999618530273
