Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,WGS,Healthcare,Health Information Services,NASDAQ,530.82,99,99,99,99,671555136,30.729999542236328
2,ASTS,Technology,Communication Equipment,NASDAQ,524.17,99,99,99,7,2532088320,29.40999984741211
3,TLSIW,Healthcare,Medical Devices,NASDAQ,492.98,99,99,99,99,n/a,1.25
4,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,483.6,99,99,99,67,16871360,3.109999895095825
5,LENZ,Healthcare,Biotechnology,NASDAQ,409.17,99,99,99,89,467792032,22.719999313354492
6,MDIA,Communication Services,Broadcasting,NASDAQ,405.54,99,99,95,9,132641344,3.3299999237060547
7,CRBP,Healthcare,Biotechnology,NASDAQ,370.34,99,99,99,99,468184352,55.689998626708984
8,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,369.29,99,53,4,6,10736424,6.769999980926514
9,SEZL,Financial Services,Credit Services,NASDAQ,351.35,99,99,99,98,469543264,130.8699951171875
10,LBPH,Healthcare,Biotechnology,NASDAQ,349.06,99,99,98,99,738721920,34.0099983215332
11,SMMT,Healthcare,Biotechnology,NASDAQ,346.7,99,99,99,98,5601800704,12.600000381469727
12,NEON,Technology,Electronic Components,NASDAQ,339.8,99,95,91,6,30719000,6.849999904632568
13,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,335.07,99,99,99,97,497564096,15.0
14,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,320.67,99,99,17,4,7003263,0.8420000076293945
15,AGBA,Financial Services,Asset Management,NASDAQ,314.47,99,99,99,5,229691088,2.6600000858306885
16,CADL,Healthcare,Biotechnology,NASDAQ,312.81,99,99,99,89,199960320,6.309999942779541
17,PSNL,Healthcare,Diagnostics & Research,NASDAQ,304.13,99,98,22,46,65442888,5.21999979019165
18,SCPX,Healthcare,Biotechnology,NYSE MKT,303.54,99,0,2,15,10265812,0.8999999761581421
19,BYU,Financial Services,Shell Companies,NASDAQ,299.45,99,18,5,2,21530556,5.559999942779541
20,VRAX,Healthcare,Biotechnology,NASDAQ,296.4,99,65,88,1,4558467,4.550000190734863
21,DOGZ,Consumer Cyclical,Leisure,NASDAQ,295.5,99,99,97,85,201654288,24.1200008392334
22,SHCRW,Healthcare,Health Information Services,NASDAQ,292.04,99,99,2,6,n/a,0.09000000357627869
23,LUMN,Communication Services,Telecom Services,NYSE,290.56,99,98,19,51,1086092800,4.710000038146973
24,RCAT,Technology,Computer Hardware,NASDAQ,287.3,99,98,49,49,75767136,2.950000047683716
25,INSG,Technology,Communication Equipment,NASDAQ,283.68,99,98,98,16,103737712,13.789999961853027
26,RGS,Consumer Cyclical,Personal Services,NASDAQ,273.8,99,99,3,9,10647367,19.899999618530273
27,RNA,Healthcare,Biotechnology,NASDAQ,271.1,99,99,98,98,4130786048,40.9900016784668
28,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,264.55,99,98,92,15,624490496,39.630001068115234
29,ADMA,Healthcare,Biotechnology,NASDAQ,261.17,99,99,98,95,2461811456,16.56999969482422
30,EUDA,Healthcare,Health Information Services,NASDAQ,260.88,99,99,97,20,93790424,4.559999942779541
31,NISN,Financial Services,Credit Services,NASDAQ,260.46,99,98,33,80,13619664,11.1899995803833
32,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,259.39,99,99,98,97,51737596,9.039999961853027
33,AEYE,Technology,Software - Application,NASDAQ,259.23,99,99,99,96,212526320,21.549999237060547
34,CMMB,Healthcare,Biotechnology,NASDAQ,257.97,99,87,91,61,13479612,2.4600000381469727
35,SLNO,Healthcare,Biotechnology,NASDAQ,255.41,99,99,99,99,1734692864,47.27000045776367
