Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
2,SEZL,Financial Services,Credit Services,NASDAQ,531.31,99,99,99,98,469543264.0,162.5500030517578
9,LENZ,Healthcare,Biotechnology,NASDAQ,391.44,99,99,99,99,467792032.0,24.40999984741211
10,NISN,Financial Services,Credit Services,NASDAQ,386.03,99,99,98,93,13619664.0,19.18000030517578
11,CAPR,Healthcare,Biotechnology,NASDAQ,384.6,99,24,52,92,154779824.0,19.32999992370605
12,INSG,Technology,Communication Equipment,NASDAQ,383.83,99,99,99,17,103737712.0,17.559999465942383
16,RAIL,Industrials,Railroads,NASDAQ,356.09,99,99,46,88,67358160.0,12.369999885559082
17,DOGZ,Consumer Cyclical,Leisure,NASDAQ,351.36,99,99,98,88,201654288.0,34.459999084472656
25,ADMA,Healthcare,Biotechnology,NASDAQ,297.01,99,99,99,94,2461811456.0,20.71999931335449
27,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,293.97,99,99,97,24,624490496.0,51.0
32,RNA,Healthcare,Biotechnology,NASDAQ,268.97,99,99,99,98,4130786048.0,46.33000183105469
34,TISI,Industrials,Specialty Business Services,NYSE,267.02,99,99,74,44,34924232.0,23.90999984741211
35,CDNA,Healthcare,Diagnostics & Research,NASDAQ,263.12,99,99,97,43,734330176.0,32.15999984741211
39,WLFC,Industrials,Rental & Leasing Services,NASDAQ,250.09,99,98,94,74,410781888.0,154.72999572753906
41,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,248.13,99,98,99,99,12955388928.0,190.9900054931641
42,BYRN,Industrials,Aerospace & Defense,NASDAQ,238.9,99,98,97,98,240324800.0,17.170000076293945
43,ZETA,Technology,Software—Application,NYSE,238.2,99,99,97,85,3581592576.0,31.84000015258789
52,APP,Technology,Software - Application,NASDAQ,218.31,99,96,97,98,26597492736.0,143.50999450683594
54,FTAI,Industrials,Rental & Leasing Services,NASDAQ,217.35,99,98,98,97,9574752256.0,146.4499969482422
55,CAVA,Consumer Cyclical,Restaurants,NYSE,216.88,99,99,96,89,10877130752.0,131.99000549316406
58,QTTB,Healthcare,Biotechnology,NASDAQ,211.31,99,99,90,96,217226800.0,44.790000915527344
63,VST,Utilities,Utilities—Independent Power Producers,NYSE,206.01,98,94,98,98,30652921856.0,127.95999908447266
64,SG,Consumer Cyclical,Restaurants,NYSE,204.24,98,96,96,97,3552299776.0,38.20000076293945
67,BVS,Healthcare,Medical Devices,NASDAQ,202.77,98,98,95,97,371476640.0,11.59000015258789
70,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,200.84,98,89,94,97,1969235968.0,252.1699981689453
71,LBPH,Healthcare,Biotechnology,NASDAQ,200.56,98,99,99,97,738721920.0,33.630001068115234
73,INLX,Technology,Software—Application,NYSE MKT,199.14,98,96,87,88,24188086.0,13.8100004196167
74,APLT,Healthcare,Biotechnology,NASDAQ,198.81,98,95,98,99,514201504.0,8.1899995803833
75,BMA,Financial Services,Banks - Regional,NYSE,198.57,98,98,97,98,5020511232.0,68.97000122070312
77,CMPO,Industrials,Metal Fabrication,NASDAQ,196.32,98,98,82,60,518202016.0,14.140000343322754
79,PI,Technology,Communication Equipment,NASDAQ,195.49,98,97,97,91,4079125504.0,223.58999633789065
80,GDS,Technology,Information Technology Services,NASDAQ,194.81,98,98,92,15,1717016704.0,20.299999237060547
81,CRMD,Healthcare,Biotechnology,NASDAQ,194.61,98,95,75,93,237973760.0,9.670000076293944
83,EWTX,Healthcare,Biotechnology,NASDAQ,193.84,98,96,98,97,1511381888.0,28.489999771118164
84,GGAL,Financial Services,Banks - Regional,NASDAQ,191.19,98,98,93,97,6550478336.0,44.18000030517578
85,VHI,Basic Materials,Chemicals,NYSE,191.15,98,97,78,65,553888832.0,33.29999923706055
87,PRM,Basic Materials,Specialty Chemicals,NYSE,190.21,98,98,94,94,1159015168.0,12.399999618530272
89,TLN,,,NASDAQ,188.06,98,98,97,93,,177.8300018310547
91,IDR,Basic Materials,Gold,NYSE MKT,187.17,98,97,96,95,122180440.0,16.0
93,TPC,Industrials,Engineering & Construction,NYSE,185.06,98,98,98,97,1027907392.0,26.440000534057617
99,IESC,Industrials,Engineering & Construction,NASDAQ,180.25,98,95,97,97,2759391488.0,213.75999450683597
102,CHCI,Real Estate,Real Estate - Diversified,NASDAQ,178.17,98,96,79,94,62093432.0,10.869999885559082
105,BBAR,Financial Services,Banks - Regional,NYSE,176.15,98,97,95,95,2783302912.0,11.31999969482422
108,LWAY,Consumer Defensive,Packaged Foods,NASDAQ,175.06,98,97,38,98,192519872.0,26.31999969482422
109,AIRG,Technology,Communication Equipment,NASDAQ,174.98,98,96,94,92,70807520.0,9.420000076293944
111,CRS,Industrials,Metal Fabrication,NYSE,173.59,98,97,95,89,4986626048.0,161.3800048828125
112,USAP,Basic Materials,Steel,NASDAQ,173.42,98,97,95,97,306204480.0,40.2400016784668
113,GATO,Basic Materials,Other Precious Metals & Mining,NYSE,173.13,98,96,98,95,744387584.0,15.800000190734863
115,AGX,Industrials,Engineering & Construction,NYSE,172.57,98,96,94,92,1036293632.0,107.80999755859376
116,PCT,Industrials,Pollution & Treatment Controls,NASDAQ,172.51,98,23,81,78,1009188096.0,9.420000076293944
117,RYAM,Basic Materials,Chemicals,NYSE,171.99,98,97,90,55,382308672.0,8.699999809265137
120,IPX,Basic Materials,Other Industrial Metals & Mining,NASDAQ,171.21,98,95,93,96,330652416.0,23.299999237060547
123,RKLB,Industrials,Aerospace & Defense,NASDAQ,170.52,97,87,85,15,2419549696.0,9.40999984741211
124,AXGN,Healthcare,Medical Devices,NASDAQ,170.28,97,97,86,42,312487904.0,13.609999656677246
127,COHR,Technology,Scientific & Technical Instruments,NYSE,169.81,97,93,96,87,11195210752.0,97.87000274658205
132,INSM,Healthcare,Biotechnology,NASDAQ,169.14,97,98,99,73,10697345024.0,71.37000274658203
133,PLTR,Technology,Software—Infrastructure,NYSE,169.14,97,96,93,93,57498558464.0,41.45000076293945
134,SPRY,Healthcare,Biotechnology,NASDAQ,168.98,97,95,96,95,878840320.0,13.880000114440918
137,SFM,Consumer Defensive,Grocery Stores,NASDAQ,167.4,97,97,95,93,7812086784.0,115.11000061035156
138,FIP,Industrials,Conglomerates,NASDAQ,167.09,97,96,98,97,851178752.0,9.539999961853027
139,LFVN,Consumer Defensive,Packaged Foods,NASDAQ,166.94,97,89,61,88,84967016.0,11.920000076293944
142,BKTI,Technology,Communication Equipment,NYSE MKT,166.5,97,96,43,47,47622796.0,25.59000015258789
143,CNTA,Healthcare,Biotechnology,NASDAQ,166.27,97,97,73,95,962569728.0,16.079999923706055
144,TREE,Financial Services,Financial Conglomerates,NASDAQ,165.92,97,97,97,95,551858368.0,54.72999954223633
145,TECX,,,NASDAQ,165.69,97,45,39,40,,31.940000534057617
146,RSI,Consumer Cyclical,Gambling,NYSE,165.17,97,95,98,95,2178609920.0,10.850000381469728
147,PNTG,Healthcare,Medical Care Facilities,NASDAQ,164.7,97,98,96,94,680537344.0,33.41999816894531
148,DOYU,Communication Services,Internet Content & Information,NASDAQ,164.17,97,98,97,24,324264896.0,9.760000228881836
150,SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,163.44,97,97,86,83,10521380864.0,109.62000274658205
152,CLBT,Technology,Software - Infrastructure,NASDAQ,162.43,97,96,90,92,2459457792.0,18.13999938964844
154,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,162.09,97,98,93,96,443103200.0,8.890000343322754
157,EAT,Consumer Cyclical,Restaurants,NYSE,161.15,97,94,95,79,3028023296.0,84.5
160,CLMB,Technology,Electronics & Computer Distribution,NASDAQ,160.71,97,96,76,90,257776016.0,103.83000183105467
168,TVTX,Healthcare,Biotechnology,NASDAQ,157.76,97,95,79,8,553457856.0,15.210000038146973
172,SE,Consumer Cyclical,Internet Retail,NYSE,157.28,97,94,92,80,43810652160.0,95.33000183105467
173,SNCR,Technology,Software—Infrastructure,NASDAQ,156.84,97,98,91,52,93892136.0,13.010000228881836
177,NRIX,Healthcare,Biotechnology,NASDAQ,156.34,97,98,98,95,1126084736.0,22.0
178,CDRO,Consumer Cyclical,Gambling,NASDAQ,156.27,97,96,97,98,337469344.0,8.680000305175781
183,OCUL,Healthcare,Biotechnology,NASDAQ,154.68,96,97,96,97,850340544.0,9.31999969482422
185,CLPT,Healthcare,Medical Devices,NASDAQ,154.66,96,98,84,19,143956576.0,11.619999885559082
189,LMB,Industrials,Building Products & Equipment,NASDAQ,153.3,96,93,96,92,638443200.0,76.7300033569336
190,NMM,Industrials,Marine Shipping,NYSE,153.23,96,95,95,95,1481148544.0,62.5
191,NTRA,Healthcare,Diagnostics & Research,NASDAQ,153.16,96,95,97,96,13261495296.0,131.92999267578125
192,MOD,Consumer Cyclical,Auto Parts,NYSE,153.15,96,92,97,98,5115531776.0,132.77000427246094
