Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
4,LENZ,Healthcare,Biotechnology,NASDAQ,437.57,99,99,99,0,467792032.0,23.799999237060547
6,LBPH,Healthcare,Biotechnology,NASDAQ,344.66,99,99,98,99,738721920.0,34.86000061035156
7,SMMT,Healthcare,Biotechnology,NASDAQ,343.58,99,99,99,97,5601800704.0,12.270000457763672
13,SEZL,Financial Services,Credit Services,NASDAQ,323.63,99,99,98,99,469543264.0,126.66999816894533
15,SLNO,Healthcare,Biotechnology,NASDAQ,318.82,99,99,99,99,1734692864.0,48.540000915527344
16,INSG,Technology,Communication Equipment,NASDAQ,298.9,99,99,98,14,103737712.0,14.390000343322754
19,RNA,Healthcare,Biotechnology,NASDAQ,287.03,99,99,99,98,4130786048.0,40.459999084472656
25,DOGZ,Consumer Cyclical,Leisure,NASDAQ,274.16,99,99,98,94,201654288.0,22.3799991607666
29,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,256.02,99,99,93,18,624490496.0,37.97999954223633
30,ADMA,Healthcare,Biotechnology,NASDAQ,255.9,99,99,98,94,2461811456.0,16.260000228881836
31,RAIL,Industrials,Railroads,NASDAQ,252.67,99,56,92,76,67358160.0,8.239999771118164
34,QTTB,Healthcare,Biotechnology,NASDAQ,239.96,99,97,87,78,217226800.0,42.81999969482422
42,CDNA,Healthcare,Diagnostics & Research,NASDAQ,216.35,99,99,95,61,734330176.0,27.100000381469727
48,ZETA,Technology,Software—Application,NYSE,211.16,99,99,97,74,3581592576.0,25.059999465942383
51,HRTG,Financial Services,Insurance—Property & Casualty,NYSE,206.22,99,82,85,95,229773744.0,15.59000015258789
55,TISI,Industrials,Specialty Business Services,NYSE,203.22,99,87,87,20,34924232.0,17.190000534057617
60,KEQU,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,197.54,99,98,97,93,104394888.0,52.470001220703125
62,DCTH,Healthcare,Medical Devices,NASDAQ,196.81,98,98,95,36,212283504.0,9.670000076293944
64,DOYU,Communication Services,Internet Content & Information,NASDAQ,193.02,98,98,74,14,324264896.0,8.789999961853027
65,CAVA,Consumer Cyclical,Restaurants,NYSE,191.65,98,96,96,89,10877130752.0,116.12999725341795
66,FTAI,Industrials,Rental & Leasing Services,NASDAQ,191.56,98,98,97,96,9574752256.0,112.5500030517578
72,INSM,Healthcare,Biotechnology,NASDAQ,186.94,98,99,99,64,10697345024.0,71.04000091552734
73,CMPO,Industrials,Metal Fabrication,NASDAQ,186.67,98,96,68,36,518202016.0,11.789999961853027
74,COE,Consumer Defensive,Education & Training Services,NYSE MKT,185.99,98,97,53,25,52868228.0,14.984999656677246
75,CLPT,Healthcare,Medical Devices,NASDAQ,185.19,98,93,27,68,143956576.0,11.890000343322754
78,STOK,Healthcare,Biotechnology,NASDAQ,183.5,98,98,99,41,776065344.0,14.699999809265137
79,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,183.25,98,95,96,64,443103200.0,8.529999732971191
80,BNTC,Healthcare,Biotechnology,NASDAQ,183.24,98,98,97,90,67914232.0,9.020000457763672
81,GGAL,Financial Services,Banks - Regional,NASDAQ,182.85,98,97,96,94,6550478336.0,41.08000183105469
82,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,182.7,98,99,97,96,640242240.0,17.190000534057617
84,ARQT,Healthcare,Biotechnology,NASDAQ,180.59,98,97,91,98,943476544.0,10.359999656677246
85,GDS,Technology,Information Technology Services,NASDAQ,180.24,98,90,36,12,1717016704.0,17.219999313354492
86,NRIX,Healthcare,Biotechnology,NASDAQ,179.96,98,98,93,90,1126084736.0,23.32999992370605
88,WLFC,Industrials,Rental & Leasing Services,NASDAQ,177.2,98,97,91,50,410781888.0,99.79000091552734
91,BVS,Healthcare,Medical Devices,NASDAQ,176.7,98,97,95,96,371476640.0,9.529999732971191
92,PNTG,Healthcare,Medical Care Facilities,NASDAQ,176.25,98,98,95,91,680537344.0,31.84000015258789
94,PRM,Basic Materials,Specialty Chemicals,NYSE,174.7,98,98,89,68,1159015168.0,11.119999885559082
104,BBAR,Financial Services,Banks - Regional,NYSE,168.86,98,97,96,94,2783302912.0,11.0
105,VRNA,Healthcare,Biotechnology,NASDAQ,168.85,98,92,18,25,1025684736.0,26.38999938964844
107,TLN,,,NASDAQ,168.08,98,97,97,91,,143.06500244140625
109,TREE,Financial Services,Financial Conglomerates,NASDAQ,166.81,98,97,96,94,551858368.0,51.790000915527344
111,AXGN,Healthcare,Medical Devices,NASDAQ,166.69,98,96,42,49,312487904.0,13.020000457763672
117,PRAX,Healthcare,Biotechnology,NASDAQ,164.79,98,98,96,99,644796736.0,54.02000045776367
119,INLX,Technology,Software—Application,NYSE MKT,164.48,98,96,90,98,24188086.0,10.0
121,TPC,Industrials,Engineering & Construction,NYSE,164.32,98,97,98,95,1027907392.0,21.59000015258789
122,VHI,Basic Materials,Chemicals,NYSE,163.9,97,85,90,54,553888832.0,27.51000022888184
123,SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,163.74,97,97,91,73,10521380864.0,94.6999969482422
130,SOC,Energy,Oil & Gas Drilling,NYSE,161.75,97,89,90,60,914527744.0,21.81999969482422
133,PCVX,Healthcare,Biotechnology,NASDAQ,161.12,97,86,82,88,7860438528.0,111.58000183105467
135,EVER,Communication Services,Internet Content & Information,NASDAQ,160.54,97,98,98,96,663600512.0,21.43000030517578
137,SFM,Consumer Defensive,Grocery Stores,NASDAQ,160.04,97,98,95,94,7812086784.0,98.83000183105467
139,ESOA,Industrials,Engineering & Construction,NASDAQ,159.51,97,91,96,98,127548672.0,9.359999656677246
141,PHAT,Healthcare,Biotechnology,NASDAQ,159.14,97,85,78,27,694812800.0,17.719999313354492
143,SMC,,,NYSE,158.99,97,97,97,66,,36.65999984741211
146,CNTA,Healthcare,Biotechnology,NASDAQ,158.09,97,94,88,96,962569728.0,14.300000190734863
147,CALT,Healthcare,Biotechnology,NASDAQ,157.93,97,98,97,71,1048215232.0,40.75
151,UG,Consumer Defensive,Household & Personal Products,NASDAQ,157.08,97,94,74,33,41119164.0,13.789999961853027
152,CNK,Communication Services,Entertainment,NYSE,157.01,97,96,42,78,2416333568.0,28.09000015258789
155,TELZ,,,NYSE MKT,155.98,97,98,76,77,,23.739999771118164
159,CSR,Real Estate,REIT - Residential,NYSE,155.4,97,81,79,37,1072832768.0,74.20999908447266
164,CRS,Industrials,Metal Fabrication,NYSE,155.09,97,98,96,73,4986626048.0,132.16000366210938
166,IDR,Basic Materials,Gold,NYSE MKT,154.57,97,94,95,93,122180440.0,12.390000343322754
