Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
4,SEZL,Financial Services,Credit Services,NASDAQ,467.9,99,99,99,99,469543264.0,155.35000610351562
8,CAPR,Healthcare,Biotechnology,NASDAQ,420.73,99,25,42,93,154779824.0,21.649999618530277
10,LENZ,Healthcare,Biotechnology,NASDAQ,415.41,99,99,99,99,467792032.0,25.780000686645508
11,NISN,Financial Services,Credit Services,NASDAQ,410.69,99,99,93,92,13619664.0,20.0
13,INSG,Technology,Communication Equipment,NASDAQ,373.82,99,99,99,15,103737712.0,16.479999542236328
16,RAIL,Industrials,Railroads,NASDAQ,357.16,99,99,49,87,67358160.0,12.529999732971191
21,DOGZ,Consumer Cyclical,Leisure,NASDAQ,333.66,99,99,98,76,201654288.0,33.869998931884766
25,ADMA,Healthcare,Biotechnology,NASDAQ,297.07,99,99,99,94,2461811456.0,20.290000915527344
26,RNA,Healthcare,Biotechnology,NASDAQ,289.53,99,99,99,98,4130786048.0,47.29999923706055
27,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,286.49,99,99,97,32,624490496.0,50.369998931884766
28,JG,Technology,Software—Infrastructure,NASDAQ,285.53,99,95,17,20,19034462.0,9.399999618530272
33,BYRN,Industrials,Aerospace & Defense,NASDAQ,268.14,99,98,97,99,240324800.0,18.950000762939453
36,CDNA,Healthcare,Diagnostics & Research,NASDAQ,254.5,99,99,96,36,734330176.0,30.90999984741211
38,WLFC,Industrials,Rental & Leasing Services,NASDAQ,249.61,99,98,95,64,410781888.0,152.42999267578125
39,AEYE,Technology,Software - Application,NASDAQ,248.54,99,99,99,98,212526320.0,23.3799991607666
41,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,240.86,99,98,99,99,12955388928.0,180.1699981689453
42,TISI,Industrials,Specialty Business Services,NYSE,240.38,99,99,59,68,34924232.0,21.200000762939453
44,ZETA,Technology,Software—Application,NYSE,237.95,99,99,96,82,3581592576.0,31.040000915527344
54,LBPH,Healthcare,Biotechnology,NASDAQ,220.68,99,99,99,98,738721920.0,36.220001220703125
55,QTTB,Healthcare,Biotechnology,NASDAQ,219.31,99,99,86,96,217226800.0,44.75
59,APP,Technology,Software - Application,NASDAQ,212.13,99,95,97,98,26597492736.0,139.66000366210938
62,BVS,Healthcare,Medical Devices,NASDAQ,209.1,98,98,95,96,371476640.0,11.75
65,CAVA,Consumer Cyclical,Restaurants,NYSE,206.87,98,98,97,90,10877130752.0,126.5999984741211
66,GDS,Technology,Information Technology Services,NASDAQ,204.55,98,98,91,12,1717016704.0,22.1299991607666
69,FTAI,Industrials,Rental & Leasing Services,NASDAQ,203.82,98,98,98,97,9574752256.0,140.14999389648438
70,TLN,,,NASDAQ,201.8,98,98,97,93,,190.3500061035156
72,RGS,Consumer Cyclical,Personal Services,NASDAQ,201.54,98,99,98,5,10647367.0,27.290000915527344
73,VHI,Basic Materials,Chemicals,NYSE,200.06,98,97,73,61,553888832.0,34.68000030517578
75,INLX,Technology,Software—Application,NYSE MKT,199.48,98,98,88,87,24188086.0,14.0
76,PRM,Basic Materials,Specialty Chemicals,NYSE,199.23,98,98,95,94,1159015168.0,13.06999969482422
77,PI,Technology,Communication Equipment,NASDAQ,197.56,98,95,97,92,4079125504.0,218.33999633789065
81,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,194.86,98,88,95,97,1969235968.0,242.9900054931641
82,TPC,Industrials,Engineering & Construction,NYSE,193.49,98,97,98,97,1027907392.0,27.729999542236328
83,EWTX,Healthcare,Biotechnology,NASDAQ,193.27,98,96,98,98,1511381888.0,28.399999618530277
86,CRMD,Healthcare,Biotechnology,NASDAQ,192.63,98,92,68,92,237973760.0,8.899999618530273
88,CHCI,Real Estate,Real Estate - Diversified,NASDAQ,190.69,98,95,83,90,62093432.0,11.699999809265137
92,BMA,Financial Services,Banks - Regional,NYSE,189.22,98,98,98,98,5020511232.0,67.94999694824219
93,CMPO,Industrials,Metal Fabrication,NASDAQ,188.8,98,98,84,65,518202016.0,13.93000030517578
96,IDR,Basic Materials,Gold,NYSE MKT,186.56,98,97,96,95,122180440.0,16.260000228881836
101,GGAL,Financial Services,Banks - Regional,NASDAQ,184.18,98,98,95,97,6550478336.0,43.4900016784668
103,GATO,Basic Materials,Other Precious Metals & Mining,NYSE,182.91,98,96,98,95,744387584.0,15.90999984741211
105,SG,Consumer Cyclical,Restaurants,NYSE,181.71,98,96,96,97,3552299776.0,34.29999923706055
106,RKLB,Industrials,Aerospace & Defense,NASDAQ,181.1,98,84,73,15,2419549696.0,9.800000190734863
107,SPRY,Healthcare,Biotechnology,NASDAQ,179.66,98,95,96,95,878840320.0,14.1899995803833
